-------,__fsid_t,dirent,enum (unnamed at /usr/include/dirent.h:97:1),__mbstate_t,_G_fpos_t,_G_fpos64_t,_IO_FILE,_IO_FILE,_IO_FILE,_IO_FILE,_IO_cookie_io_functions_t,div_t,ldiv_t,lldiv_t,__bswap_16,__bswap_32,__bswap_64,__uint16_identity,__uint32_identity,__uint64_identity,__sigset_t,timeval,timespec,fd_set,__pthread_internal_list,__pthread_internal_slist,__pthread_mutex_s,__pthread_rwlock_arch_t,__pthread_cond_s,__once_flag,random_data,drand48_data,__locale_struct,enum (unnamed at /usr/include/bits/confname.h:24:1),enum (unnamed at /usr/include/bits/confname.h:71:1),enum (unnamed at /usr/include/bits/confname.h:539:1),z_stream_s,gz_header_s,gzFile_s,gzFile_s,read_c_file,Buff,BuffDB,dbAppend,makeBuff,makeZBuff,catBuffs,maxBuff,minBuff,normCompDist,makeDB,writeDB,crawl_dir,main
__sigset_t,0.854839,0.853107,0.891566,0.754717,0.709677,0.725806,0.954683,0.954683,0.954683,0.954683,0.826389,0.750000,0.708333,0.726027,0.839695,0.832061,0.832061,0.779412,0.779412,0.779412,0.048387,0.830645,0.868421,0.870813,0.687500,0.677419,0.906627,0.889855,0.801418,0.645161,0.890625,0.847826,0.866071,0.952096,0.995866,0.980529,0.957173,0.941019,0.698630,0.698630,0.936111,0.709677,0.725806,0.876623,0.867188,0.924855,0.878571,0.819444,0.819444,0.902439,0.925926,0.868056,0.941489,0.917949
timeval,0.927419,0.723164,0.819277,0.741935,0.814516,0.806452,0.925982,0.925982,0.925982,0.925982,0.729167,0.806452,0.782258,0.790323,0.725191,0.717557,0.717557,0.838710,0.838710,0.830645,0.846774,0.032258,0.646617,0.775120,0.806452,0.806452,0.846386,0.875362,0.787234,0.887097,0.807292,0.804348,0.821429,0.940120,0.991733,0.956885,0.931477,0.916890,0.798387,0.798387,0.922222,0.854839,0.822581,0.824675,0.796875,0.849711,0.800000,0.814516,0.822581,0.847561,0.868313,0.812500,0.914894,0.871795
timespec,0.951128,0.781955,0.845865,0.853383,0.909774,0.909774,0.915408,0.915408,0.915408,0.915408,0.827068,0.894737,0.872180,0.872180,0.827068,0.823308,0.812030,0.909774,0.909774,0.906015,0.883459,0.665414,0.041353,0.778196,0.902256,0.898496,0.822289,0.826087,0.853383,0.917293,0.827068,0.823308,0.815789,0.907186,0.987599,0.949930,0.912206,0.879357,0.894737,0.894737,0.866667,0.913534,0.898496,0.860902,0.872180,0.860902,0.860902,0.906015,0.909774,0.860902,0.860902,0.857143,0.872340,0.857143
fd_set,0.937799,0.755981,0.827751,0.832536,0.885167,0.889952,0.929003,0.929003,0.929003,0.929003,0.808612,0.861244,0.861244,0.861244,0.799043,0.794258,0.794258,0.880383,0.875598,0.880383,0.880383,0.779904,0.751880,0.047847,0.889952,0.880383,0.825301,0.831884,0.827751,0.909091,0.803828,0.813397,0.794643,0.934132,0.991044,0.965230,0.922912,0.906166,0.875598,0.875598,0.891667,0.899522,0.889952,0.832536,0.832536,0.837321,0.837321,0.885167,0.889952,0.837321,0.855967,0.842105,0.890957,0.822967
__pthread_internal_list,0.859375,0.864407,0.891566,0.792453,0.671875,0.703125,0.951662,0.951662,0.951662,0.951662,0.784722,0.764706,0.763889,0.780822,0.816794,0.809160,0.809160,0.735294,0.720588,0.720588,0.703125,0.806452,0.894737,0.889952,0.078125,0.218750,0.888554,0.892754,0.758865,0.718750,0.833333,0.858696,0.866071,0.964072,0.995522,0.976356,0.927195,0.908847,0.726027,0.726027,0.925000,0.734375,0.703125,0.844156,0.789062,0.861272,0.814286,0.777778,0.777778,0.859756,0.893004,0.861111,0.917553,0.902564
__pthread_internal_slist,0.847458,0.864407,0.897590,0.783019,0.610169,0.661017,0.951662,0.951662,0.951662,0.951662,0.777778,0.764706,0.750000,0.767123,0.809160,0.801527,0.801527,0.720588,0.705882,0.705882,0.693548,0.806452,0.890977,0.885167,0.250000,0.084746,0.891566,0.889855,0.751773,0.694915,0.833333,0.858696,0.861607,0.958084,0.994833,0.976356,0.925054,0.911528,0.712329,0.712329,0.927778,0.694915,0.677966,0.844156,0.804688,0.855491,0.807143,0.777778,0.777778,0.853659,0.893004,0.854167,0.914894,0.887179
__pthread_mutex_s,0.966867,0.837349,0.900602,0.855422,0.918675,0.918675,0.910876,0.910876,0.910876,0.910876,0.855422,0.906627,0.900602,0.900602,0.849398,0.852410,0.855422,0.912651,0.915663,0.912651,0.906627,0.858434,0.828313,0.828313,0.891566,0.891566,0.036145,0.591304,0.843373,0.927711,0.864458,0.819277,0.831325,0.940120,0.995177,0.968011,0.901499,0.882038,0.897590,0.897590,0.883333,0.927711,0.921687,0.903614,0.900602,0.897590,0.903614,0.924699,0.927711,0.909639,0.897590,0.918675,0.875000,0.900602
__pthread_rwlock_arch_t,0.965217,0.834783,0.915942,0.878261,0.921739,0.924638,0.889728,0.889728,0.889728,0.889728,0.863768,0.918841,0.907246,0.910145,0.872464,0.872464,0.860870,0.918841,0.915942,0.915942,0.895652,0.866667,0.820290,0.828986,0.895652,0.898551,0.597101,0.037681,0.843478,0.933333,0.869565,0.852174,0.831884,0.947826,0.994833,0.949930,0.910064,0.873995,0.898551,0.898551,0.872222,0.924638,0.927536,0.910145,0.895652,0.898551,0.907246,0.933333,0.933333,0.915942,0.898551,0.910145,0.875000,0.898551
__pthread_cond_s,0.929078,0.785311,0.843373,0.744681,0.801418,0.822695,0.925982,0.925982,0.925982,0.925982,0.736111,0.836879,0.822695,0.822695,0.773050,0.765957,0.773050,0.822695,0.822695,0.829787,0.787234,0.787234,0.849624,0.822967,0.758865,0.758865,0.840361,0.840580,0.049645,0.808511,0.812500,0.777174,0.785714,0.943114,0.994144,0.973574,0.918630,0.898123,0.787234,0.787234,0.897222,0.836879,0.801418,0.805195,0.780142,0.820809,0.780142,0.851064,0.851064,0.835366,0.860082,0.805556,0.898936,0.851282
__once_flag,0.812500,0.909605,0.879518,0.783019,0.701754,0.711864,0.962236,0.962236,0.962236,0.962236,0.861111,0.750000,0.777778,0.794521,0.854962,0.847328,0.847328,0.794118,0.794118,0.794118,0.629032,0.870968,0.909774,0.913876,0.703125,0.677966,0.924699,0.924638,0.808511,0.083333,0.901042,0.907609,0.892857,0.952096,0.995522,0.979138,0.959315,0.949062,0.821918,0.821918,0.950000,0.687500,0.719298,0.896104,0.882812,0.919075,0.900000,0.805556,0.805556,0.920732,0.942387,0.888889,0.936170,0.938462
